"ID","教材","単元","地域","質問","正答","誤答1","誤答2","誤答3","誤答4","誤答5","第1巡","第2巡","処置"
"summer-126","夏期講習","","中国","山口県の秋吉台に見られる、石灰岩がつくる地形を何といいますか。","カルスト地形","リアス海岸","扇状地","三角州","砂丘","盆地","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-127","夏期講習","","四国","香川県の県庁所在地はどこですか。","高松市","松山市","徳島市","高知市","仙台市","横浜市","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-128","夏期講習","","四国","高知平野で特にたくさん生産されている野菜は、何やピーマンですか。","なす","きゅうり","トマト","キャベツ","だいこん","レタス","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-129","夏期講習","","四国","高知平野で野菜の出荷時期を早めるために使われる施設は何ですか。","ビニールハウス","ガラス温室","ビニールトンネル","育苗ハウス","冷蔵施設","選果場","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-130","夏期講習","","四国","高知県南東部で太平洋へ突き出した岬は何ですか。","室戸岬","足摺岬","佐田岬","潮岬","吉野川","四万十川","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-131","夏期講習","","四国","徳島県と淡路島の間の鳴門海峡で有名な自然現象は何ですか。","うず潮","流氷","海霧","赤潮","潮目","高潮","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-132","夏期講習","","九州・沖縄","活火山の雲仙普賢岳があり、長いリアス海岸を持つ県はどこですか。","長崎県","佐賀県","熊本県","宮崎県","兵庫県","山梨県","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-133","夏期講習","","九州・沖縄","宮崎県で生産される代表的なブランド牛は何ですか。","宮崎牛","松阪牛","米沢牛","神戸牛","近江牛","前沢牛","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-134","夏期講習","","九州・沖縄","福岡県や佐賀県に広がる筑紫平野でさかんな農業は何ですか。","二毛作","二期作","輪作","促成栽培","稲作","畑作","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-135","夏期講習","","九州・沖縄","佐賀県などに面する有明海でさかんな養殖は何ですか。","のりの養殖","かきの養殖","真珠の養殖","うなぎの養殖","たいの養殖","わかめの養殖","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"summer-136","夏期講習","","九州・沖縄","長崎市や佐世保市でさかんな工業は何ですか。","造船業","自動車工業","鉄鋼業","石油化学工業","セメント工業","製紙工業","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-137","夏期講習","","九州・沖縄","しいたけやかぼすなどの生産がさかんな九州地方の県はどこですか。","大分県","宮崎県","熊本県","鹿児島県","兵庫県","山梨県","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-138","夏期講習","","九州・沖縄","大分県にある、製鉄所や石油化学コンビナートが発達した工業地域は何ですか。","大分臨海工業地域","北九州工業地域","鹿島臨海工業地域","瀬戸内工業地域","京葉工業地域","北関東工業地域","意味確認済み","形式・重複・唯一正解確認済み","適合"
"summer-139","夏期講習","","九州・沖縄","地元でとれた農産物や水産物を、その地域で食べたり利用したりすることを何といいますか。","地産地消","産地直送","食料自給","地場産業","地域ブランド","地産外商","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-001","小4前期","1","日本","事故や事件が起きたときに警察へ知らせる電話番号は何番ですか。","110番","118番","119番","171番","117番","177番","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-002","小4前期","1","日本","火事や救急のときに消防へ知らせる電話番号は何番ですか。","119番","110番","118番","171番","117番","177番","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-003","小4前期","1","日本","交通事故が起きたときに現場へ急行して事故を調べる人はだれですか。","警察官","消防士","救急隊員","消防団員","警備員","交通指導員","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-004","小4前期","1","日本","火事の現場で消火や救助を行う人はだれですか。","消防士","警察官","救急隊員","消防団員","自衛隊員","海上保安官","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-005","小4前期","1","日本","川の水などを取り入れてきれいな水にする施設を何といいますか。","浄水場","ろ過池","下水管","取水口","貯水池","下水処理場","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-006","小4前期","1","日本","家庭や工場から出た汚れた水をきれいにする施設を何といいますか。","下水処理場","ろ過池","下水管","取水口","浄水場","ポンプ場","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-007","小4前期","1","日本","浄水場できれいにした水を一度ためて各家庭へ送る施設を何といいますか。","配水池","ろ過池","下水管","取水口","浄水場","貯水池","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-008","小4前期","1","日本","家庭で使う水のうち一般に最も割合が大きい用途は何ですか。","風呂","トイレ","炊事","洗濯","洗面","庭の散水","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-009","小4前期","1","日本","水源林には雨水をたくわえ川へ流れる水量を調整する働きがあります。この働きを何といいますか。","緑のダム","水の工場","雨の倉庫","川のポンプ","砂防ダム","黒部ダム","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-010","小4前期","1","日本","日ごろから火災に備えて地域を見回ったり消火訓練をしたりする地域の組織を何といいますか。","消防団","町内会","警察署","水防団","町内会防災部","消防署","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-011","小4前期","1","日本","警察への110番通報を受けて警察官へ連絡する施設を何といいますか。","通信指令室","消防指令センター","県警本部","警察署","交番","通信司令室","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-012","小4前期","1","日本","消防への119番通報を受けて消防署などへ出動を指令する施設を何といいますか。","消防指令センター","通信指令室","警察署","消防署","救急指令室","防災センター","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-013","小4前期","1","日本","けが人や急病人を病院へ運ぶ車を何といいますか。","救急車","消防車","給水車","パトカー","献血車","福祉車両","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-014","小4前期","1","日本","火災現場で消防車へ水を供給する道路上の設備を何といいますか。","消火栓","防火水槽","スプリンクラー","送水口","消火器","消防用水","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-015","小4前期","1","日本","消防署が定期的に建物の消防設備などを調べることを何といいますか。","立入検査","消火訓練","救助訓練","避難訓練","定期検査","防火検査","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-016","小4前期","1","日本","地域の人が火事に備えて行う訓練を何といいますか。","防火訓練","交通安全教室","救命講習","防犯パトロール","消火訓練","救助訓練","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-017","小4前期","1","日本","交通事故を防ぐため道路に設置され車や人の通行を整理する設備は何ですか。","信号機","横断歩道","道路標識","ガードレール","歩道橋","踏切","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-018","小4前期","1","日本","水道水のもとになる川やダムなどの水を何といいますか。","水源","ろ過池","下水管","取水口","配水池","浄水場","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-019","小4前期","1","日本","川から浄水場へ水を取り入れる施設を何といいますか。","取水口","ろ過池","下水管","浄水場","配水池","下水処理場","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-020","小4前期","1","日本","浄水場で水の中の細かな汚れをこし取る設備を何といいますか。","ろ過池","下水管","取水口","浄水場","配水池","貯水池","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-021","小4前期","1","日本","水道水を消毒するために使われる薬品は何ですか。","塩素","酸素","二酸化炭素","窒素","オゾン","フッ素","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-022","小4前期","1","日本","使った水が家庭から下水処理場へ流れる管を何といいますか。","下水管","ろ過池","取水口","浄水場","取水管","送水管","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-023","小4前期","1","日本","水洗トイレの水は使用後どの施設へ運ばれて処理されますか。","下水処理場","ろ過池","下水管","取水口","浄水場","ポンプ場","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-024","小4前期","1","日本","森林が雨水をたくわえることで洪水や何を防ぐ助けになりますか。","渇水","地震","津波","噴火","洪水","土砂災害","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-025","小4前期","1","日本","森林が水をたくわえ少しずつ川へ流す働きを何といいますか。","水源涵養","水質浄化","土砂流出防止","木材生産","二酸化炭素吸収","洪水緩和","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-026","小4前期","2","日本","燃やせるごみを高温で燃やす施設を何といいますか。","清掃工場","最終処分場","資源化センター","リサイクルセンター","ごみ集積所","粗大ごみ処理施設","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-027","小4前期","2","日本","ごみを資源としてもう一度利用することを何といいますか。","リサイクル","リデュース","リユース","再使用","分別回収","再資源化","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-028","小4前期","2","日本","使える物をくり返し使うことを何といいますか。","リユース","再生利用","リサイクル","リデュース","再資源化","分別回収","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-029","小4前期","2","日本","ごみそのものを減らす取り組みを何といいますか。","リデュース","リサイクル","リユース","再生利用","分別","再資源化","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-030","小4前期","2","日本","リデュース・リユース・リサイクルをまとめて何といいますか。","3R","分別","リユース","再生利用","リデュース","リサイクル","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-031","小4前期","2","日本","資源として再利用できる紙につけられる代表的な識別マークは何ですか。","紙製容器包装識別表示マーク","PETボトル識別表示マーク","プラスチック製容器包装識別表示マーク","アルミ缶識別マーク","スチール缶識別マーク","紙パックマーク","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-032","小4前期","2","日本","地域で長く受け継がれてきた技術で作られる工芸品を何といいますか。","伝統的工芸品","南部鉄器","江戸切子","備前焼","郷土工芸品","特産品","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-033","小4前期","2","日本","伝統的工芸品に指定されるには主に手作業で作られていることなどが必要です。技術や原材料はおよそ何年以上受け継がれている必要がありますか。","100年以上","50年以上","30年以上","10年以上","300年以上","500年以上","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-034","小4前期","2","日本","5月5日の国民の祝日を何といいますか。","こどもの日","成人の日","敬老の日","文化の日","スポーツの日","海の日","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-035","小4前期","2","日本","11月3日の国民の祝日を何といいますか。","文化の日","成人の日","敬老の日","山の日","こどもの日","海の日","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-036","小4前期","2","日本","ごみを燃やした後に残るものを何といいますか。","灰","資源ごみ","粗大ごみ","生ごみ","燃え殻","焼却残さ","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-037","小4前期","2","日本","ごみや焼却灰を最終的に埋め立てる場所を何といいますか。","最終処分場","下水処理場","清掃工場","資源化センター","リサイクルセンター","ごみ集積所","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-038","小4前期","2","日本","ごみを燃やすときに出る熱を利用してつくるものは何ですか。","電気","ガス","温水","蒸気","暖房用の熱","燃料","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-039","小4前期","2","日本","ごみを種類ごとに分けて出すことを何といいますか。","分別","リユース","再生利用","最終処分","リデュース","リサイクル","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-040","小4前期","2","日本","ペットボトルの識別表示に使われるアルファベットは何ですか。","PET","PAP","AL","STEEL","PP","PE","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-041","小4前期","2","日本","アルミ缶を資源として集めるのは何のためですか。","再生利用するため","燃やしやすくするため","埋め立てやすくするため","資源を節約するため","ごみを減らすため","新しい缶の材料にするため","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-042","小4前期","2","日本","牛乳パックは主に何の資源として再利用されますか。","紙","鉄","木材","ガラス","アルミニウム","プラスチック","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-043","小4前期","2","日本","スチール缶の主な材料は何ですか。","鉄","紙","木材","ガラス","鉄筋コンクリート","プラスチック","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-044","小4前期","2","日本","ごみを減らすため買い物袋を持参する取り組みを何といいますか。","マイバッグ","リサイクル","リデュース","リユース","再生利用","分別","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-045","小4前期","2","日本","使い終わった製品を材料に戻して新しい製品を作ることを何といいますか。","再生利用","リユース","最終処分","リサイクル","最終処分場","リデュース","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-046","小4前期","2","日本","伝統的工芸品を国が指定するとき中心となる役所はどこですか。","経済産業省","環境省","農林水産省","国土交通省","文化庁","総務省","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-047","小4前期","2","東京都","江戸切子はどの材料を加工して作る伝統的工芸品ですか。","ガラス","鉄","木材","紙","陶土","竹","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-048","小4前期","2","岩手県","南部鉄器は主に何を材料として作られますか。","鉄","紙","木材","ガラス","銅","アルミニウム","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-049","小4前期","2","日本","1月の第2月曜日の国民の祝日は何ですか。","成人の日","敬老の日","文化の日","山の日","こどもの日","海の日","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-050","小4前期","2","日本","9月の第3月曜日の国民の祝日は何ですか。","敬老の日","成人の日","文化の日","山の日","こどもの日","海の日","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-051","小4前期","3","日本","地図では通常どの方位が上になるように描かれていますか。","北","南","東","西","南西","南東","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-052","小4前期","3","日本","東と南の間の方位を何といいますか。","南東","北東","北西","南西","南","北","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-053","小4前期","3","日本","地図上の長さが実際の長さの何分の一かを表したものを何といいますか。","縮尺","標高","地形図","平面図","地図記号","等高線","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-054","小4前期","3","日本","2万5000分の1の地図で1cmは実際には何mですか。","250m","500m","1000m","2500m","50m","100m","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-055","小4前期","3","日本","5万分の1の地図で1cmは実際には何mですか。","500m","250m","1000m","5000m","50m","100m","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-056","小4前期","3","日本","土地の高さが同じ場所を結んだ線を何といいますか。","等高線","地形図","平面図","鳥瞰図","緯線","経線","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-057","小4前期","3","日本","等高線の間隔がせまい土地は傾斜が急ですか緩やかですか。","急","垂直","水平","緩やか","ほぼ同じ","どちらともいえない","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-058","小4前期","3","日本","空から地面を真下に見たように表す地図の描き方を何といいますか。","平面図","地形図","鳥瞰図","立体地図","断面図","案内図","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-059","小4前期","3","日本","国が発行する基本的な地図を何といいますか。","地形図","平面図","鳥瞰図","住宅地図","道路地図","土地利用図","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-060","小4前期","3","日本","地形図を発行している国の機関はどこですか。","国土地理院","気象庁","国税庁","文化庁","総務省統計局","国土交通省","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-061","小4前期","3","日本","北と東の間の方位を何といいますか。","北東","北西","南東","南西","南","北","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-062","小4前期","3","日本","南と西の間の方位を何といいますか。","南西","北東","北西","南東","南","北","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-063","小4前期","3","日本","西と北の間の方位を何といいますか。","北西","北東","南東","南西","南","北","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-064","小4前期","3","日本","地図上で方位を確かめるために使う印を何といいますか。","方位記号","地図記号","地形図","平面図","線状記号","面状記号","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-065","小4前期","3","日本","縮尺が大きい地図と小さい地図では狭い範囲を詳しく表すのはどちらですか。","縮尺が大きい地図","縮尺が小さい地図","どちらも同じ","地図の大きさだけでは決まらない","資料だけでは判断できない","どちらともいえない","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-066","小4前期","3","日本","2万5000分の1と5万分の1の地図ではより広い範囲を表すのはどちらですか。","5万分の1の地図","2万5000分の1の地図","どちらも同じ","地図の紙の大きさで決まる","どちらともいえない","資料だけでは判断できない","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-067","小4前期","3","日本","2万5000分の1の地図で4cmの距離は実際には何kmですか。","1km","0.5km","2km","4km","5km","2.5km","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-068","小4前期","3","日本","5万分の1の地図で2cmの距離は実際には何kmですか。","1km","0.5km","2km","5km","4km","2.5km","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-069","小4前期","3","日本","土地の高さや傾斜などを表した地図を何といいますか。","地形図","平面図","鳥瞰図","土地利用図","住宅地図","道路地図","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-070","小4前期","3","日本","等高線が閉じた輪になり内側ほど標高が高い場合どのような地形を表しますか。","山","谷","平地","くぼ地","盆地","丘","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-071","小4前期","3","日本","等高線が谷を横切るとき高い方へ向かって何字形になりますか。","V字形","U字形","O字形","X字形","W字形","Y字形","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-072","小4前期","3","日本","地形図に示される内容として正しいものはどれですか。","土地の高さ・道路・建物","翌日の天気予報","商品の値段","学校の時間割","人口の将来予測","電車の運行時刻","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-073","小4前期","3","日本","地図を一定の割合で小さくして表すことを何といいますか。","縮小","標高","縮尺","地形図","平面図","等高線","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-074","小4前期","3","日本","実際の距離を地図上の距離から求めるときに使うものは何ですか。","縮尺","標高","地形図","平面図","方位記号","距離目盛り","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-075","小4前期","3","日本","地形図に示された三角形の記号で標高を測る基準点を何といいますか。","三角点","水準点","電子基準点","標石","基準点","方位記号","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-076","小4前期","4","日本","地図上で土地利用や建物などを表す記号を何といいますか。","地図記号","方位記号","地形図","平面図","線状記号","面状記号","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-077","小4前期","4","日本","神社の地図記号は何をもとに作られていますか。","鳥居","歯車","卍","文","十字","稲の切り株","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-078","小4前期","4","日本","寺院の地図記号に使われている形は何ですか。","卍","文","歯車","鳥居","十字","稲の切り株","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-079","小4前期","4","日本","果樹園の地図記号は何の実をもとに作られていますか。","りんごの実","稲の切り株","杉の木","歯車","桑の葉","茶の実","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-080","小4前期","4","日本","針葉樹林の地図記号は何の形をもとに作られていますか。","杉の木","歯車","鳥居","卍","広葉樹","竹","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-081","小4前期","4","日本","市役所と町村役場の地図記号について正しい説明はどれですか。","互いに異なる記号を使う","まったく同じ記号を使う","市役所にだけ記号がある","町村役場にだけ記号がある","地図記号","線状記号","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-082","小4前期","4","日本","等高線の間隔が広い土地は傾斜が急ですか緩やかですか。","緩やか","垂直","水平","急","ほぼ同じ","どちらともいえない","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-083","小4前期","4","日本","標高とは海面を基準にした土地の何を表しますか。","高さ","広さ","人口","気温","地形図","平面図","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-084","小4前期","4","日本","土地の高さや起伏を立体的に表した図を何といいますか。","鳥瞰図","地形図","平面図","等高線図","断面図","立体地図","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-085","小4前期","4","日本","昔と現在の地図を比べると何の変化を読み取れますか。","土地利用の変化","一日の気温変化","人の年齢変化","天気の変化","歯車","地形図","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-086","小4前期","4","日本","水田の地図記号は稲を刈り取った後の何を表していますか。","稲の切り株","りんごの実","杉の木","歯車","桑の葉","茶の実","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-087","小4前期","4","日本","桑畑の地図記号は桑の葉を簡略化したものです。桑の葉は何の飼育に使われますか。","蚕","牛","羊","にわとり","馬","豚","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-088","小4前期","4","日本","発電所の地図記号は何の形をもとにしていますか。","歯車","鳥居","卍","文","煙突","水車","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-089","小4前期","4","日本","工場の地図記号は何の形をもとにしていますか。","歯車","鳥居","卍","文","煙突","工場の屋根","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-090","小4前期","4","日本","学校の地図記号は何の文字をもとにしていますか。","文","卍","歯車","鳥居","学","校","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-091","小4前期","4","日本","郵便局の地図記号は何を表す昔の記号をもとにしていますか。","逓信省","文部省","大蔵省","農商務省","内務省","鉄道省","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-092","小4前期","4","日本","病院の地図記号は何の文字をもとにしていますか。","病院の「病」","医者の「医」","薬局の「薬」","救急の「救」","赤十字","看護の「看」","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-093","小4前期","4","日本","警察署の地図記号は警棒をどのように組み合わせた形ですか。","交差させた形","平行に並べた形","円で囲んだ形","三角形に並べた形","一本だけの形","十字に重ねた形","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-094","小4前期","4","日本","博物館と図書館の地図記号について正しい説明はどれですか。","互いに異なる記号を使う","まったく同じ記号を使う","博物館にだけ記号がある","図書館にだけ記号がある","地図記号","線状記号","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-095","小4前期","4","日本","地図記号を使う主な利点は何ですか。","地図を簡潔で分かりやすく表せること","地図を実物と同じ大きさにできること","未来の土地利用を決められること","すべての建物名を書けること","地図記号","線状記号","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-096","小4前期","4","日本","計曲線は通常何本ごとの主曲線を太くしたものですか。","5本ごと","2本ごと","10本ごと","20本ごと","4本ごと","25本ごと","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-097","小4前期","4","日本","2万5000分の1地形図の主曲線の間隔は何mですか。","10m","5m","20m","50m","500m","25m","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-098","小4前期","4","日本","5万分の1地形図の主曲線の間隔は何mですか。","20m","10m","25m","50m","500m","5m","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-099","小4前期","4","日本","地図上で道路や鉄道など線状のものを表す記号を何といいますか。","線状記号","地図記号","方位記号","地形図","面状記号","点状記号","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-100","小4前期","4","日本","地図上で田や畑など広がりのあるものを表す記号を何といいますか。","面状記号","地図記号","方位記号","地形図","線状記号","点状記号","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-101","小4前期","5","日本","日本の国土は4つの大きな島と多くの小さな島からなります。最も大きい島は何ですか。","本州","九州","四国","北海道","沖縄本島","佐渡島","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-102","小4前期","5","日本","日本の4つの大きな島のうち最も北にある島は何ですか。","北海道","九州","四国","本州","沖縄本島","佐渡島","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-103","小4前期","5","日本","日本の4つの大きな島のうち最も南にある島は何ですか。","九州","四国","本州","北海道","沖縄本島","佐渡島","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-104","小4前期","5","日本","日本の国土面積はおよそ何万平方kmですか。","38万平方km","18万平方km","58万平方km","78万平方km","28万平方km","48万平方km","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-105","小4前期","5","日本","日本で最も高い山は何ですか。","富士山","北岳","奥穂高岳","間ノ岳","浅間山","白山","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-106","小4前期","5","日本","日本で最も長い川は何ですか。","信濃川","利根川","吉野川","最上川","木曽川","四万十川","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-107","小4前期","5","日本","日本で最も大きい湖は何ですか。","琵琶湖","宍道湖","サロマ湖","猪苗代湖","洞爺湖","支笏湖","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-108","小4前期","5","日本","日本の周囲に広がる海のうち東側にある大洋は何ですか。","太平洋","日本海","東シナ海","オホーツク海","大西洋","北極海","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-109","小4前期","5","日本","日本の北西側に広がる海を何といいますか。","日本海","太平洋","東シナ海","オホーツク海","領海","宇和海","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-110","小4前期","5","日本","領海の外側にあり水産資源などを優先して利用できる水域を何といいますか。","排他的経済水域","領土","領域","領海","公海","接続水域","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-111","小4前期","5","日本","本州の南側に位置し4つの大きな島のうち最も小さい島は何ですか。","四国","九州","本州","北海道","沖縄本島","佐渡島","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-112","小4前期","5","日本","日本列島は全体として南北と東西のどちらに長く延びていますか。","南北","東西","北東から南西","北西から南東","ほぼ同じ","どちらともいえない","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-113","小4前期","5","日本","日本の国土の約4分の3を占める地形は何ですか。","山地","盆地","平野","丘陵","台地","高原","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-114","小4前期","5","日本","日本の川は外国の大河川に比べて長さが短く流れがどうなっていますか。","急","緩やか","ほとんど流れない","場所によらず一定","非常に遅い","逆流する","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-115","小4前期","5","日本","日本の湖が多く見られる場所はどこですか。","山地","海岸","平野","盆地","火山地域","低地","意味確認済み","形式・重複・唯一正解確認済み","誤答5個再構成"
"first-116","小4前期","5","日本","日本の周囲で北にある海を何といいますか。","オホーツク海","東シナ海","太平洋","日本海","領海","宇和海","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-117","小4前期","5","日本","日本の南西側に広がる海を何といいますか。","東シナ海","太平洋","日本海","オホーツク海","領海","宇和海","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-118","小4前期","5","日本","領土の周囲およそ12海里までの海を何といいますか。","領海","領土","領域","領空","日本海","東シナ海","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-119","小4前期","5","日本","領土と領海の上空を何といいますか。","領空","領土","領域","領海","公海","排他的経済水域","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-120","小4前期","5","日本","領土・領海・領空をまとめて何といいますか。","領域","領土","領海","領空","公海","排他的経済水域","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-121","小4前期","5","日本","日本の最東端の島は何ですか。","南鳥島","択捉島","与那国島","沖ノ鳥島","屋久島","小豆島","意味確認済み","形式・重複・唯一正解確認済み","適合"
"first-122","小4前期","5","日本","日本の最南端の島は何ですか。","沖ノ鳥島","与那国島","南鳥島","択捉島","屋久島","小豆島","意味確認済み","形式・重複・唯一正解確認済み","適合"
